,user,text,favourite_count,retweet_count,created_at
102,elonmusk,@AlecStapp Seriously! It is super important to keep ace players in the United States. Forcing them to work for other countries is so crazy.,21300,1290,2023-01-19 18:07:27+00:00
103,elonmusk,"@teslaownersSV @Tesla @Ford @Rivian @LucidMotors Fed rate increases make cars more expensive for consumers, increasing the difficulty level for automotive companies",20562,1563,2023-01-19 18:03:56+00:00
104,elonmusk,@waitbutwhy 😳,2148,86,2023-01-19 17:59:26+00:00
105,elonmusk,@ggreenwald True,13934,747,2023-01-19 17:28:25+00:00
106,elonmusk,@OzraeliAvi Your critique is spot on,17701,1612,2023-01-19 11:30:03+00:00
107,elonmusk,@esherifftv A lot tbh,44879,1479,2023-01-19 11:08:38+00:00
108,elonmusk,@TheBabylonBee 🤣💯,37359,1350,2023-01-19 11:01:39+00:00
109,elonmusk,🛡️ VE RI TAS 🛡️,251302,21335,2023-01-19 10:54:51+00:00
110,elonmusk,@imcorinnemec lol,6532,196,2023-01-19 09:47:09+00:00
111,elonmusk,@Rainmaker1973 Hope you recover soon. Medical technology could be a lot better.,13500,535,2023-01-19 09:39:55+00:00
112,elonmusk,@levie Sweet dreams,39886,1461,2023-01-19 09:32:47+00:00
113,elonmusk,"@john @fullsendpodcast @joerogan The many ice ages &amp; continental drift give you a feeling for deep time
https://t.co/69DCA4MitL",15301,1004,2023-01-19 08:51:18+00:00
114,elonmusk,@greg_price11 Edelman is a despicable human being – his job is literally being a professional liar!,89231,9559,2023-01-19 08:23:14+00:00
115,elonmusk,@michaeljknowles “Recalibration of free speech”,12664,1426,2023-01-18 23:05:45+00:00
116,elonmusk,"@paulg People can disguise their own morality, but not that of their friends. Birds of a feather …",7160,720,2023-01-18 21:56:52+00:00
117,elonmusk,Great work by Tesla Team! https://t.co/aTu71lNuCl,44894,4173,2023-01-18 20:19:00+00:00
118,elonmusk,"To be clear, I’m not someone who thinks lots of government agencies should be abolished (maybe a few), but we should always question our institutions, as this strengthens the bedrock of democracy.",143383,14436,2023-01-18 18:34:59+00:00
119,elonmusk,Why did American media go from questioning the State and “speaking truth to power” to doing their bidding?,305136,39969,2023-01-18 18:24:13+00:00
120,elonmusk,@BillyM2k @unusual_whales 🤣,6680,227,2023-01-18 18:22:18+00:00
121,elonmusk,"@alx Will be interesting to see how the Biden administration reacts to this. 

They may try to weaponize Federal agencies against Twitter.",122874,12605,2023-01-18 18:18:56+00:00
122,elonmusk,The World Economic Forum should control the world,109171,41438,2023-01-18 16:49:31+00:00
123,elonmusk,@disclosetv WEF is increasingly becoming an unelected world government that the people never asked for and don’t want,247728,53978,2023-01-18 16:44:19+00:00
124,elonmusk,@ggreenwald @megynkelly Very true,5577,329,2023-01-18 16:34:42+00:00
125,elonmusk,"Media want to control what you know, which is why citizen journalism is essential https://t.co/cVL6C1VZXm",208452,35705,2023-01-18 16:30:55+00:00
126,elonmusk,@ElijahSchaffer An update to the For You algorithm included too many tweets from people users didn’t follow. That change has been reverted.,32993,2059,2023-01-18 11:02:06+00:00
127,elonmusk,@TaraBull808 Brief synchronization lag between our Atlanta &amp; Portland data centers,8060,479,2023-01-18 10:47:03+00:00
128,elonmusk,"@physorg_com @USC @PNASNews Maybe because it’s online &amp; social …

How is it possible that copycat propaganda is published simultaneously on so many legacy media channels? 

That is the question you should be asking.",63707,9472,2023-01-18 10:40:13+00:00
129,elonmusk,@EWoodhouse7 Interesting,3248,259,2023-01-18 08:37:38+00:00
130,elonmusk,@glennbeck @ShellenbergerMD Citizen journalism is vital to the future of civilization,98847,12437,2023-01-17 21:29:45+00:00
131,elonmusk,@mmm_machiavelli @ScottAdamsSays Wow,4465,346,2023-01-17 17:54:24+00:00
132,elonmusk,"The party is on!! 🚀 💫 ♥️
https://t.co/zoa3qmcXqC",149044,15350,2023-01-17 17:52:24+00:00
133,elonmusk,@ScottAdamsSays Would be great if someone could compile a game contest of who said the craziest stuff between 4chan and WEF! My money is on the latter.,39041,3820,2023-01-17 17:40:39+00:00
134,elonmusk,@karpathy Great thread,7412,346,2023-01-17 17:35:25+00:00
135,elonmusk,@TikTokInvestors Are these real? This video implies people physically show up to work.,103581,3586,2023-01-17 17:25:23+00:00
136,elonmusk,"Companies in general are missing the incredible opportunity that Twitter provides to reach customers. 

Just Tweet interesting things! That’s all it takes. https://t.co/XTzhNNwgt6",57828,6082,2023-01-17 17:20:58+00:00
137,elonmusk,The Car Aquatic https://t.co/P7KYF8J8HF,123696,10860,2023-01-17 17:15:51+00:00
138,elonmusk,@RobertKennedyJr The truth is finally coming out,119726,12968,2023-01-17 17:06:47+00:00
139,elonmusk,@RepTroyNehls Does seem odd,38162,2403,2023-01-17 16:59:15+00:00
140,elonmusk,@bgurley Wise words,7272,338,2023-01-17 16:55:57+00:00
141,elonmusk,"@Davos Population collapse is an existential problem for humanity, not overpopulation!",25490,5026,2023-01-17 09:11:37+00:00
142,elonmusk,"@foxmediallc @paulg Twitter Verified tweets are more likely to be recommended to others, as they are less likely to be bots or troll farms",3005,248,2023-01-17 08:26:48+00:00
143,elonmusk,@katewand @DrEliDavid @canuck741 Sounds accurate,2896,225,2023-01-17 08:19:00+00:00
